loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.9033901691436768,0.7028564214706421,0.9033901691436768,0.8064807653427124,0.6425445079803467,0.8064807653427124,0.0010000000474974513
0.8452215790748596,0.6766582727432251,0.8452215790748596,0.8202731609344482,0.6629347205162048,0.8202731609344482,0.0010000000474974513
0.8427593111991882,0.6754433512687683,0.8427593111991882,0.797462522983551,0.648901104927063,0.797462522983551,0.0010000000474974513
0.8402905464172363,0.6746522784233093,0.8402905464172363,0.8123990297317505,0.663371741771698,0.8123990297317505,0.0010000000474974513
0.8380080461502075,0.6735466122627258,0.8380080461502075,0.8087085485458374,0.6651840209960938,0.8087085485458374,0.0010000000474974513
0.8350479006767273,0.6725200414657593,0.8350479006767273,0.8053444027900696,0.664086103439331,0.8053444027900696,0.0010000000474974513
0.8339436054229736,0.6709123849868774,0.8339436054229736,0.8028873801231384,0.6658753156661987,0.8028873801231384,0.0010000000474974513
0.8320126533508301,0.6708033084869385,0.8320126533508301,0.8146742582321167,0.6708769798278809,0.8146742582321167,0.0010000000474974513
0.8271369934082031,0.6695706248283386,0.8271369934082031,0.8081074357032776,0.6616159081459045,0.8081074357032776,0.0005000000237487257
0.8276457786560059,0.6693356037139893,0.8276457786560059,0.8102396726608276,0.6550073623657227,0.8102396726608276,0.0005000000237487257
0.826677680015564,0.6687977313995361,0.826677680015564,0.8191983699798584,0.666979968547821,0.8191983699798584,0.0005000000237487257
0.8258999586105347,0.6679549217224121,0.8258999586105347,0.8243325352668762,0.6671335697174072,0.8243325352668762,0.0005000000237487257
0.8251804113388062,0.6685284972190857,0.8251804113388062,0.821951150894165,0.6722745895385742,0.821951150894165,0.0005000000237487257
